00000099002023073100000000000000000720230731000000000 00000000000000000000000000+0000000000000000000000000200000000000000000+00000000000000000+00000000000000000+00000000000000000+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000355002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000200000000000908870-00000000000000000+00000000000000000+00000000000908870-000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000360002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000000001639+00000000000000000+00000000000000000+00000000000001639+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000360002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000200000000002178154-00000000000000000+00000000000000000+00000000002178154-000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000362002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000200000000004606244-00000000000000000+00000000000000000+00000000004606244-000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000600002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000000589480+00000000000000000+00000000000000000+00000000000589480+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000620002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000004584656+00000000000000000+00000000000000000+00000000004584656+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000621002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000000022200+00000000000000000+00000000000000000+00000000000022200+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000622002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000000320000+00000000000000000+00000000000000000+00000000000320000+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000630002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000000550000+00000000000000000+00000000000000000+00000000000550000+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000650002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000001150210+00000000000000000+00000000000000000+00000000001150210+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000660002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000000081937+00000000000000000+00000000000000000+00000000000081937+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000667002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000000019059+00000000000000000+00000000000000000+00000000000019059+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000668002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000000195883+00000000000000000+00000000000000000+00000000000195883+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
00000669002023073100000990000000000720230731000000000 00000000000000000000000000+0000000000000000000000000100000000000178204+00000000000000000+00000000000000000+00000000000178204+000000000000000000000000000000000000000000+00000000000000000+00000000000000000+00000000000000000+00000000000000000000000LOHN/07           LG             000000000000000000000000000000000000000000000000000+000000000000000000000000000000+000000000000000000000000               0000000000000000000000OA0*
